,latitud,longitud,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_type_Casa,property_type_Departamento,property_type_PH
194511,-34.5871929,-58.5011573,3.0,2.0,116.0,85.0,0,1,0
194595,-34.6263974,-58.4236108,4.0,3.0,141.0,101.0,0,0,1
194600,-34.6198706,-58.4697087,3.0,2.0,64.0,50.0,0,0,1
194611,-34.6405905,-58.5137845,2.0,1.0,40.0,34.0,0,0,1
194618,-34.6508171,-58.3863246,4.0,3.0,81.0,79.0,0,0,1
194627,-34.6177699,-58.4352777,3.0,2.0,96.0,78.0,0,0,1
194628,-34.6156024,-58.4485934,3.0,2.0,137.0,73.0,0,0,1
194629,-34.617748,-58.4538737,3.0,2.0,58.0,52.0,0,0,1
194631,-34.6525986599,-58.5131511423,3.0,2.0,169.0,82.0,0,0,1
194632,-34.6600786,-58.5031222,2.0,1.0,44.0,40.0,0,0,1
194633,-34.620809232508606,-58.37488909524481,4.0,2.0,117.98017743108625,85.0,0,0,1
194652,-34.6012766,-58.4552168,4.0,2.0,118.0,118.0,0,0,1
194653,-34.6022489,-58.5226624,3.0,2.0,82.0,70.0,0,0,1
194655,-34.6209107,-58.3822654,5.0,3.0,185.0,96.0,0,0,1
194656,-34.6260679,-58.3973223,4.0,3.0,86.0,86.0,0,0,1
194657,-34.5907693,-58.4687,4.0,3.0,214.0,128.0,0,0,1
194658,-34.5720856,-58.4849065,3.0,2.0,65.0,58.0,0,0,1
194667,-34.6037211,-58.4954594,4.0,3.0,243.0,120.0,0,0,1
194668,-34.6040609,-58.4940243,4.0,3.0,85.0,64.0,0,0,1
194679,-34.628892,-58.364423,6.0,4.0,295.0,235.0,1,0,0
